id,symbol,cat_name,rel_position,duration
000144.png,rest_half,restHalf,,
000145.png,rest_8th,rest8th,,
000146.png,rest_quarter,restQuarter,,
000147.png,rest_quarter,restQuarter,,
000148.png,rest_8th,rest8th,,
000149.png,clef_treble,clefG,,
000150.png,clef_treble,clefG,,
000151.png,clef_tenor,clefCTenor,,
000152.png,rest_8th,rest8th,,
000153.png,rest_8th,rest8th,,
000154.png,rest_8th,rest8th,,
000155.png,rest_8th,rest8th,,
000156.png,sharp,accidentalSharp,6,
000157.png,sharp,accidentalSharp,6,
000158.png,dot,augmentationDot,,
000159.png,time_4,timeSig4,,
000160.png,time_4,timeSig4,,
000161.png,clef_bass,clefF,,
000162.png,rest_quarter,restQuarter,,
000163.png,rest_8th,rest8th,,
000164.png,dot,augmentationDot,,
000165.png,clef_bass,clefF,,
000166.png,rest_quarter,restQuarter,,
000167.png,rest_8th,rest8th,,
000168.png,clef_bass,clefF,,
000169.png,rest_8th,rest8th,,
000170.png,clef_bass,clefF,,
000171.png,dot,augmentationDot,,
000172.png,clef_bass,clefF,,
000173.png,clef_bass,clefF,,
000174.png,dot,augmentationDot,,
000175.png,rest_quarter,restQuarter,,
000176.png,clef_bass,clefF,,
000177.png,sharp,accidentalSharp,2,
000178.png,sharp,accidentalSharp,3,
000179.png,sharp,accidentalSharp,2,
000180.png,sharp,accidentalSharp,-5,
000181.png,sharp,accidentalSharp,3,
000182.png,sharp,accidentalSharp,-5,
000183.png,sharp,accidentalSharp,2,
000184.png,sharp,accidentalSharp,4,
000185.png,sharp,accidentalSharp,2,
000186.png,sharp,accidentalSharp,-5,
000187.png,rest_8th,rest8th,,
000188.png,rest_8th,rest8th,,
000189.png,rest_8th,rest8th,,
000190.png,clef_bass,clefF,,
000191.png,clef_treble,clefG,,
000192.png,clef_bass,clefF,,
000193.png,clef_8,clef8,,
000194.png,clef_bass,clefF,,
000195.png,clef_bass,clefF,,
000196.png,clef_treble,clefG,,
000197.png,clef_treble,clefG,,
000198.png,rest_8th,rest8th,,
000199.png,clef_alto,clefCAlto,,
000200.png,rest_8th,rest8th,,
000201.png,clef_bass,clefF,,
000202.png,clef_8,clef8,,
000203.png,clef_bass,clefF,,
000204.png,clef_bass,clefF,,
000205.png,clef_treble,clefG,,
000206.png,clef_treble,clefG,,
000207.png,clef_bass,clefF,,
000208.png,clef_treble,clefG,,
000209.png,rest_8th,rest8th,,
000210.png,natural,accidentalNatural,7,
000211.png,natural,accidentalNatural,0,
000212.png,flat,accidentalFlat,-6,
000213.png,flat,accidentalFlat,1,
000214.png,sharp,accidentalSharp,1,
000215.png,sharp,accidentalSharp,8,
000216.png,sharp,accidentalSharp,1,
000217.png,sharp,accidentalSharp,8,
000218.png,flat,accidentalFlat,0,
000219.png,flat,accidentalFlat,9,
000220.png,sharp,accidentalSharp,8,
000221.png,sharp,accidentalSharp,1,
000222.png,sharp,accidentalSharp,1,
000223.png,flat,accidentalFlat,7,
000224.png,flat,accidentalFlat,0,
000225.png,flat,accidentalFlat,-5,
000226.png,flat,accidentalFlat,2,
000227.png,sharp,accidentalSharp,1,
000228.png,sharp,accidentalSharp,8,
000229.png,flat,accidentalFlat,-6,
000230.png,natural,accidentalNatural,0,
000231.png,natural,accidentalNatural,7,
000232.png,flat,accidentalFlat,1,
000233.png,natural,accidentalNatural,-5,
000234.png,natural,accidentalNatural,2,
000235.png,dot,augmentationDot,,
000236.png,rest_quarter,restQuarter,,
000237.png,rest_quarter,restQuarter,,
000238.png,rest_whole,restWhole,,
000239.png,dot,augmentationDot,,
000240.png,rest_quarter,restQuarter,,
000241.png,clef_treble,clefG,,
000242.png,clef_treble,clefG,,
000243.png,clef_bass,clefF,,
000244.png,rest_whole,restWhole,,
000245.png,clef_treble,clefG,,
000246.png,rest_8th,rest8th,,
000247.png,rest_quarter,restQuarter,,
000248.png,rest_quarter,restQuarter,,
000249.png,rest_quarter,restQuarter,,
000250.png,rest_half,restHalf,,
000251.png,rest_half,restHalf,,
000252.png,rest_half,restHalf,,
000253.png,rest_half,restHalf,,
000254.png,rest_whole,restWhole,,
000255.png,rest_quarter,restQuarter,,
000256.png,rest_quarter,restQuarter,,
000257.png,rest_quarter,restQuarter,,
000258.png,clef_bass,clefF,,
000259.png,clef_treble,clefG,,
000260.png,clef_treble,clefG,,
000261.png,rest_whole,restWhole,,
000262.png,clef_treble,clefG,,
000263.png,rest_quarter,restQuarter,,
000264.png,natural,accidentalNatural,7,
000265.png,natural,accidentalNatural,5,
000266.png,sharp,accidentalSharp,3,
000267.png,natural,accidentalNatural,3,
000268.png,natural,accidentalNatural,7,
000269.png,sharp,accidentalSharp,8,
000270.png,sharp,accidentalSharp,2,
000271.png,sharp,accidentalSharp,-5,
000272.png,sharp,accidentalSharp,4,
000273.png,natural,accidentalNatural,7,
000274.png,sharp,accidentalSharp,5,
000275.png,flat,accidentalFlat,6,
000276.png,flat,accidentalFlat,4,
000277.png,natural,accidentalNatural,6,
000278.png,natural,accidentalNatural,-4,
000279.png,sharp,accidentalSharp,-3,
000280.png,sharp,accidentalSharp,2,
000281.png,sharp,accidentalSharp,-5,
000282.png,flat,accidentalFlat,-7,
000283.png,flat,accidentalFlat,-2,
000284.png,flat,accidentalFlat,-4,
000285.png,flat,accidentalFlat,-3,
000286.png,dot,augmentationDot,,
000287.png,dot,augmentationDot,,
000288.png,dot,augmentationDot,,
000289.png,clef_bass,clefF,,
000290.png,clef_treble,clefG,,
000291.png,dot,augmentationDot,,
000292.png,rest_8th,rest8th,,
000293.png,clef_bass,clefF,,
000294.png,clef_treble,clefG,,
000295.png,dot,augmentationDot,,
000296.png,dot,augmentationDot,,
000297.png,dot,augmentationDot,,
000298.png,rest_quarter,restQuarter,,
000299.png,clef_bass,clefF,,
000300.png,clef_treble,clefG,,
000301.png,rest_8th,rest8th,,
000302.png,dot,augmentationDot,,
000303.png,clef_bass,clefF,,
000304.png,clef_treble,clefG,,
000305.png,clef_alto,clefCAlto,,
000306.png,rest_8th,rest8th,,
000307.png,rest_8th,rest8th,,
000308.png,rest_8th,rest8th,,
000309.png,clef_bass,clefF,,
000310.png,clef_treble,clefG,,
000311.png,clef_bass,clefF,,
000312.png,clef_treble,clefG,,
000313.png,clef_treble,clefG,,
000314.png,clef_treble,clefG,,
000315.png,rest_8th,rest8th,,
000316.png,rest_8th,rest8th,,
000317.png,clef_treble,clefG,,
000318.png,clef_alto,clefCAlto,,
000319.png,clef_treble,clefG,,
000320.png,clef_treble,clefG,,
000321.png,clef_bass,clefF,,
000322.png,clef_treble,clefG,,
000323.png,clef_bass,clefF,,
000324.png,dot,augmentationDot,,
000325.png,dot,augmentationDot,,
000326.png,clef_bass,clefF,,
000327.png,dot,augmentationDot,,
000328.png,clef_treble,clefG,,
000329.png,clef_treble,clefG,,
000330.png,clef_bass,clefF,,
000331.png,clef_treble,clefG,,
000332.png,clef_treble,clefG,,
000333.png,rest_8th,rest8th,,
000334.png,sharp,accidentalSharp,6,
000335.png,sharp,accidentalSharp,6,
000336.png,sharp,accidentalSharp,5,
000337.png,sharp,accidentalSharp,6,
000338.png,sharp,accidentalSharp,1,
000339.png,natural,accidentalNatural,6,
000340.png,sharp,accidentalSharp,5,
000341.png,sharp,accidentalSharp,1,
000342.png,sharp,accidentalSharp,1,
000343.png,sharp,accidentalSharp,2,
000344.png,natural,accidentalNatural,0,
000345.png,sharp,accidentalSharp,1,
000346.png,natural,accidentalNatural,1,
000347.png,dot,augmentationDot,,
000348.png,dot,augmentationDot,,
000349.png,dot,augmentationDot,,
000350.png,dot,augmentationDot,,
000351.png,rest_quarter,restQuarter,,
000352.png,dot,augmentationDot,,
000353.png,rest_8th,rest8th,,
000354.png,dot,augmentationDot,,
000355.png,dot,augmentationDot,,
000356.png,dot,augmentationDot,,
000357.png,dot,augmentationDot,,
000358.png,dot,augmentationDot,,
000359.png,dot,augmentationDot,,
000360.png,dot,augmentationDot,,
000361.png,dot,augmentationDot,,
000362.png,clef_alto,clefCAlto,,
000363.png,clef_tenor,clefCTenor,,
000364.png,clef_bass,clefF,,
000365.png,dot,augmentationDot,,
000366.png,dot,augmentationDot,,
000367.png,dot,augmentationDot,,
000368.png,rest_quarter,restQuarter,,
000369.png,dot,augmentationDot,,
000370.png,dot,augmentationDot,,
000371.png,dot,augmentationDot,,
000372.png,rest_quarter,restQuarter,,
000373.png,dot,augmentationDot,,
000374.png,dot,augmentationDot,,
000375.png,rest_8th,rest8th,,
000376.png,dot,augmentationDot,,
000377.png,dot,augmentationDot,,
000378.png,dot,augmentationDot,,
000379.png,dot,augmentationDot,,
000380.png,clef_bass,clefF,,
000381.png,clef_tenor,clefCTenor,,
000382.png,clef_alto,clefCAlto,,
000383.png,rest_whole,restWhole,,
000384.png,dot,augmentationDot,,
000385.png,rest_quarter,restQuarter,,
000386.png,rest_32nd,rest32nd,,
000387.png,dot,augmentationDot,,
000388.png,dot,augmentationDot,,
000389.png,rest_8th,rest8th,,
000390.png,dot,augmentationDot,,
000391.png,rest_half,restHalf,,
000392.png,dot,augmentationDot,,
000393.png,dot,augmentationDot,,
000394.png,dot,augmentationDot,,
000395.png,clef_alto,clefCAlto,,
000396.png,dot,augmentationDot,,
000397.png,rest_16th,rest16th,,
000398.png,dot,augmentationDot,,
000399.png,dot,augmentationDot,,
000400.png,dot,augmentationDot,,
000401.png,dot,augmentationDot,,
000402.png,dot,augmentationDot,,
000403.png,rest_quarter,restQuarter,,
000404.png,clef_tenor,clefCTenor,,
000405.png,rest_whole,restWhole,,
000406.png,dot,augmentationDot,,
000407.png,dot,augmentationDot,,
000408.png,clef_bass,clefF,,
000409.png,dot,augmentationDot,,
000410.png,dot,augmentationDot,,
000411.png,sharp,accidentalSharp,2,
000412.png,sharp,accidentalSharp,-5,
000413.png,sharp,accidentalSharp,2,
000414.png,sharp,accidentalSharp,9,
000415.png,sharp,accidentalSharp,2,
000416.png,sharp,accidentalSharp,0,
000417.png,sharp,accidentalSharp,2,
000418.png,sharp,accidentalSharp,9,
000419.png,natural,accidentalNatural,-3,
000420.png,natural,accidentalNatural,4,
000421.png,natural,accidentalNatural,-10,
000422.png,sharp,accidentalSharp,9,
000423.png,sharp,accidentalSharp,9,
000424.png,sharp,accidentalSharp,2,
000425.png,sharp,accidentalSharp,-5,
000426.png,sharp,accidentalSharp,0,
000427.png,sharp,accidentalSharp,7,
000428.png,clef_bass,clefF,,
000429.png,clef_treble,clefG,,
000430.png,clef_bass,clefF,,
000431.png,clef_treble,clefG,,
000432.png,rest_half,restHalf,,
000433.png,clef_bass,clefF,,
000434.png,clef_treble,clefG,,
000435.png,rest_8th,rest8th,,
000436.png,rest_8th,rest8th,,
000437.png,rest_8th,rest8th,,
000438.png,rest_8th,rest8th,,
000439.png,rest_8th,rest8th,,
000440.png,rest_8th,rest8th,,
000441.png,rest_8th,rest8th,,
000442.png,rest_8th,rest8th,,
000443.png,rest_8th,rest8th,,
000444.png,clef_bass,clefF,,
000445.png,rest_8th,rest8th,,
000446.png,clef_treble,clefG,,
000447.png,rest_8th,rest8th,,
000448.png,rest_8th,rest8th,,
000449.png,rest_8th,rest8th,,
000450.png,rest_8th,rest8th,,
000451.png,rest_8th,rest8th,,
000452.png,rest_8th,rest8th,,
000453.png,rest_8th,rest8th,,
000454.png,rest_8th,rest8th,,
000455.png,rest_8th,rest8th,,
000456.png,rest_8th,rest8th,,
000457.png,rest_8th,rest8th,,
000458.png,rest_8th,rest8th,,
000459.png,rest_half,restHalf,,
000460.png,rest_8th,rest8th,,
000461.png,rest_8th,rest8th,,
000462.png,rest_8th,rest8th,,
000463.png,rest_8th,rest8th,,
000464.png,rest_8th,rest8th,,
000465.png,clef_bass,clefF,,
000466.png,clef_treble,clefG,,
000467.png,rest_8th,rest8th,,
000468.png,rest_8th,rest8th,,
000469.png,rest_8th,rest8th,,
000470.png,rest_8th,rest8th,,
000471.png,rest_8th,rest8th,,
000472.png,sharp,accidentalSharp,2,
000473.png,sharp,accidentalSharp,-1,
000474.png,sharp,accidentalSharp,-5,
000475.png,flat,accidentalFlat,0,
000476.png,sharp,accidentalSharp,2,
000477.png,flat,accidentalFlat,3,
000478.png,flat,accidentalFlat,3,
000479.png,sharp,accidentalSharp,2,
000480.png,sharp,accidentalSharp,-1,
000481.png,flat,accidentalFlat,0,
000482.png,sharp,accidentalSharp,-1,
000483.png,sharp,accidentalSharp,-1,
000484.png,flat,accidentalFlat,0,
000485.png,sharp,accidentalSharp,2,
000486.png,sharp,accidentalSharp,9,
000487.png,sharp,accidentalSharp,2,
000488.png,sharp,accidentalSharp,-5,
000489.png,natural,accidentalNatural,-1,
000490.png,sharp,accidentalSharp,-1,
000491.png,sharp,accidentalSharp,-1,
000492.png,flat,accidentalFlat,0,
000493.png,sharp,accidentalSharp,9,
000494.png,flat,accidentalFlat,-4,
000495.png,sharp,accidentalSharp,2,
000496.png,sharp,accidentalSharp,-1,
000497.png,sharp,accidentalSharp,9,
000498.png,flat,accidentalFlat,3,
000499.png,flat,accidentalFlat,-4,
000500.png,flat,accidentalFlat,3,
000501.png,rest_whole,restWhole,,
000502.png,rest_whole,restWhole,,
000503.png,rest_whole,restWhole,,
000504.png,rest_whole,restWhole,,
000505.png,rest_whole,restWhole,,
000506.png,rest_whole,restWhole,,
000507.png,rest_whole,restWhole,,
000508.png,rest_whole,restWhole,,
000509.png,rest_whole,restWhole,,
000510.png,rest_whole,restWhole,,
000511.png,time_common,timeSigCommon,,
000512.png,clef_treble,clefG,,
000513.png,time_common,timeSigCommon,,
000514.png,clef_bass,clefF,,
000515.png,time_common,timeSigCommon,,
000516.png,clef_treble,clefG,,
000517.png,rest_whole,restWhole,,
000518.png,rest_whole,restWhole,,
000519.png,clef_treble,clefG,,
000520.png,time_common,timeSigCommon,,
000521.png,dot,augmentationDot,,
000522.png,clef_treble,clefG,,
000523.png,clef_bass,clefF,,
000524.png,clef_treble,clefG,,
000525.png,clef_treble,clefG,,
000526.png,dot,augmentationDot,,
000527.png,clef_treble,clefG,,
000528.png,clef_treble,clefG,,
000529.png,clef_bass,clefF,,
000530.png,clef_treble,clefG,,
000531.png,natural,accidentalNatural,0,
000532.png,natural,accidentalNatural,7,
000533.png,natural,accidentalNatural,7,
000534.png,natural,accidentalNatural,7,
000535.png,natural,accidentalNatural,0,
000536.png,natural,accidentalNatural,0,
000537.png,natural,accidentalNatural,0,
000538.png,natural,accidentalNatural,0,
000539.png,natural,accidentalNatural,0,
000540.png,natural,accidentalNatural,0,
000541.png,rest_quarter,restQuarter,,
000542.png,dot,augmentationDot,,
000543.png,rest_quarter,restQuarter,,
000544.png,dot,augmentationDot,,
000545.png,rest_8th,rest8th,,
000546.png,dot,augmentationDot,,
000547.png,dot,augmentationDot,,
000548.png,dot,augmentationDot,,
000549.png,dot,augmentationDot,,
000550.png,dot,augmentationDot,,
000551.png,dot,augmentationDot,,
000552.png,dot,augmentationDot,,
000553.png,clef_bass,clefF,,
000554.png,clef_treble,clefG,,
000555.png,dot,augmentationDot,,
000556.png,dot,augmentationDot,,
000557.png,dot,augmentationDot,,
000558.png,dot,augmentationDot,,
000559.png,dot,augmentationDot,,
000560.png,dot,augmentationDot,,
000561.png,dot,augmentationDot,,
000562.png,dot,augmentationDot,,
000563.png,rest_quarter,restQuarter,,
000564.png,rest_quarter,restQuarter,,
000565.png,dot,augmentationDot,,
000566.png,dot,augmentationDot,,
000567.png,dot,augmentationDot,,
000568.png,time_3,timeSig3,,
000569.png,time_8,timeSig8,,
000570.png,clef_treble,clefG,,
000571.png,time_3,timeSig3,,
000572.png,time_8,timeSig8,,
000573.png,clef_treble,clefG,,
000574.png,clef_bass,clefF,,
000575.png,dot,augmentationDot,,
000576.png,rest_whole,restWhole,,
000577.png,rest_whole,restWhole,,
000578.png,rest_whole,restWhole,,
000579.png,clef_treble,clefG,,
000580.png,time_3,timeSig3,,
000581.png,time_8,timeSig8,,
000582.png,clef_treble,clefG,,
000583.png,time_3,timeSig3,,
000584.png,time_8,timeSig8,,
000585.png,rest_whole,restWhole,,
000586.png,time_6,timeSig6,,
000587.png,time_8,timeSig8,,
000588.png,time_6,timeSig6,,
000589.png,time_8,timeSig8,,
000590.png,clef_treble,clefG,,
000591.png,clef_treble,clefG,,
000592.png,rest_half,restHalf,,
000593.png,rest_half,restHalf,,
000594.png,clef_treble,clefG,,
000595.png,clef_treble,clefG,,
000596.png,flat,accidentalFlat,-1,
000597.png,flat,accidentalFlat,-1,
000598.png,natural,accidentalNatural,-1,
000599.png,natural,accidentalNatural,-1,
000600.png,natural,accidentalNatural,0,
000601.png,natural,accidentalNatural,3,
000602.png,natural,accidentalNatural,0,
000603.png,flat,accidentalFlat,6,
000604.png,flat,accidentalFlat,2,
000605.png,flat,accidentalFlat,2,
000606.png,natural,accidentalNatural,0,
000607.png,natural,accidentalNatural,3,
000608.png,natural,accidentalNatural,0,
000609.png,natural,accidentalNatural,0,
000610.png,natural,accidentalNatural,-1,
000611.png,natural,accidentalNatural,-1,
000612.png,flat,accidentalFlat,-1,
000613.png,flat,accidentalFlat,-1,
000614.png,flat,accidentalFlat,2,
000615.png,flat,accidentalFlat,2,
000616.png,natural,accidentalNatural,3,
000617.png,flat,accidentalFlat,6,
000618.png,natural,accidentalNatural,0,
000619.png,dot,augmentationDot,,
000620.png,dot,augmentationDot,,
000621.png,dot,augmentationDot,,
000622.png,dot,augmentationDot,,
000623.png,dot,augmentationDot,,
000624.png,dot,augmentationDot,,
000625.png,dot,augmentationDot,,
000626.png,dot,augmentationDot,,
000627.png,dot,augmentationDot,,
000628.png,dot,augmentationDot,,
000629.png,rest_whole,restWhole,,
000630.png,rest_whole,restWhole,,
000631.png,rest_whole,restWhole,,
000632.png,clef_bass,clefF,,
000633.png,clef_treble,clefG,,
000634.png,clef_treble,clefG,,
000635.png,clef_bass,clefF,,
000636.png,clef_treble,clefG,,
000637.png,clef_treble,clefG,,
000638.png,clef_treble,clefG,,
000639.png,clef_treble,clefG,,
000640.png,rest_whole,restWhole,,
000641.png,rest_whole,restWhole,,
000642.png,rest_whole,restWhole,,
000643.png,dot,augmentationDot,,
000644.png,dot,augmentationDot,,
000645.png,dot,augmentationDot,,
000646.png,dot,augmentationDot,,
000647.png,dot,augmentationDot,,
000648.png,dot,augmentationDot,,
000649.png,dot,augmentationDot,,
000650.png,dot,augmentationDot,,
000651.png,dot,augmentationDot,,
000652.png,dot,augmentationDot,,
000653.png,natural,accidentalNatural,-8,
000654.png,sharp,accidentalSharp,-8,
000655.png,sharp,accidentalSharp,-8,
000656.png,rest_quarter,restQuarter,,
000657.png,clef_treble,clefG,,
000658.png,clef_treble,clefG,,
000659.png,clef_bass,clefF,,
000660.png,rest_quarter,restQuarter,,
000661.png,clef_treble,clefG,,
000662.png,clef_bass,clefF,,
000663.png,clef_treble,clefG,,
000664.png,dot,augmentationDot,,
000665.png,clef_treble,clefG,,
000666.png,rest_quarter,restQuarter,,
000667.png,clef_bass,clefF,,
000668.png,clef_treble,clefG,,
000669.png,sharp,accidentalSharp,5,
000670.png,sharp,accidentalSharp,-1,
000671.png,sharp,accidentalSharp,6,
000672.png,sharp,accidentalSharp,2,
000673.png,sharp,accidentalSharp,-2,
000674.png,sharp,accidentalSharp,1,
000675.png,natural,accidentalNatural,0,
000676.png,sharp,accidentalSharp,0,
000677.png,sharp,accidentalSharp,2,
000678.png,sharp,accidentalSharp,1,
000679.png,sharp,accidentalSharp,0,
000680.png,sharp,accidentalSharp,5,
000681.png,sharp,accidentalSharp,0,
000682.png,natural,accidentalNatural,7,
000683.png,sharp,accidentalSharp,1,
000684.png,sharp,accidentalSharp,2,
000685.png,sharp,accidentalSharp,2,
000686.png,sharp,accidentalSharp,1,
000687.png,sharp,accidentalSharp,1,
000688.png,dot,augmentationDot,,
000689.png,clef_alto,clefCAlto,,
000690.png,dot,augmentationDot,,
000691.png,rest_whole,restWhole,,
000692.png,rest_whole,restWhole,,
000693.png,rest_whole,restWhole,,
000694.png,dot,augmentationDot,,
000695.png,rest_half,restHalf,,
000696.png,rest_half,restHalf,,
000697.png,rest_half,restHalf,,
000698.png,clef_tenor,clefCTenor,,
000699.png,clef_alto,clefCAlto,,
000700.png,rest_whole,restWhole,,
000701.png,clef_bass,clefF,,
000702.png,dot,augmentationDot,,
000703.png,dot,augmentationDot,,
000704.png,dot,augmentationDot,,
000705.png,rest_whole,restWhole,,
000706.png,rest_whole,restWhole,,
000707.png,rest_whole,restWhole,,
000708.png,rest_whole,restWhole,,
000709.png,dot,augmentationDot,,
000710.png,clef_bass,clefF,,
000711.png,clef_alto,clefCAlto,,
000712.png,clef_tenor,clefCTenor,,
000713.png,clef_alto,clefCAlto,,
000714.png,rest_half,restHalf,,
000715.png,rest_half,restHalf,,
000716.png,rest_whole,restWhole,,
000717.png,dot,augmentationDot,,
000718.png,rest_whole,restWhole,,
000719.png,dot,augmentationDot,,
000720.png,rest_whole,restWhole,,
000721.png,rest_whole,restWhole,,
000722.png,dot,augmentationDot,,
000723.png,clef_alto,clefCAlto,,
000724.png,rest_whole,restWhole,,
000725.png,clef_tenor,clefCTenor,,
000726.png,clef_bass,clefF,,
000727.png,rest_whole,restWhole,,
000728.png,rest_whole,restWhole,,
000729.png,dot,augmentationDot,,
000730.png,dot,augmentationDot,,
000731.png,dot,augmentationDot,,
000732.png,flat,accidentalFlat,-1,
000733.png,flat,accidentalFlat,0,
000734.png,flat,accidentalFlat,0,
000735.png,flat,accidentalFlat,-1,
000736.png,flat,accidentalFlat,0,
000737.png,flat,accidentalFlat,-1,
000738.png,flat,accidentalFlat,0,
000739.png,flat,accidentalFlat,-1,
000740.png,flat,accidentalFlat,-1,
000741.png,flat,accidentalFlat,0,
000742.png,natural,accidentalNatural,-1,
000743.png,natural,accidentalNatural,0,
000744.png,natural,accidentalNatural,0,
000745.png,flat,accidentalFlat,-1,
000746.png,flat,accidentalFlat,0,
000747.png,flat,accidentalFlat,0,
000748.png,flat,accidentalFlat,-1,
000749.png,flat,accidentalFlat,-1,
000750.png,flat,accidentalFlat,0,
000751.png,rest_8th,rest8th,,
000752.png,rest_8th,rest8th,,
000753.png,rest_8th,rest8th,,
000754.png,rest_8th,rest8th,,
000755.png,rest_whole,restWhole,,
000756.png,rest_whole,restWhole,,
000757.png,rest_whole,restWhole,,
000758.png,rest_8th,rest8th,,
000759.png,rest_8th,rest8th,,
000760.png,rest_8th,rest8th,,
000761.png,rest_8th,rest8th,,
000762.png,rest_8th,rest8th,,
000763.png,rest_8th,rest8th,,
000764.png,rest_8th,rest8th,,
000765.png,rest_8th,rest8th,,
000766.png,clef_treble,clefG,,
